review_id,review_text,emo,adj,read,analytic,ebm_prediction,model_prediction,explanation,contributions,generator_model
39,"""I recently stayed at the Hotel Allegro Chicago and was extremely impressed by the high level of service and comfort provided. The staff were friendly and attentive, the room was clean and well-appointed, and the location was perfect for exploring the city. I would highly recommend this hotel to anyone visiting Chicago.""",11.54,11.54,46.839182,74.95,Deceptive,Deceptive,"The model predicted this review as 'Deceptive' primarily due to several linguistic features. The **proportion of emotional content** (11.5400) contributed strongly toward 'Deceptive' with a score of -1.6022, suggesting the review may overuse emotional language to appear genuine. Similarly, the **proportion of adjectives** (11.5400) added evidence for 'Deceptive' with a score of -0.0455, indicating potential exaggeration in describing the hotel. The **readability score** (46.8392) was the most influential feature, contributing -2.6486 toward 'Deceptive,' which could imply the review is too polished or formulaic. Additionally, the **analytic writing style** (74.9500) provided further evidence for 'Deceptive' with a score of -0.3499, hinting at a lack of personal, genuine detail. Together, these features outweighed any counter-evidence, leading the model to classify the review as likely deceptive.","{""proportion_of_emotional_content_in_review"": -1.6022, ""proportion_of_adjectives_in_review"": -0.0455, ""readability_of_review"": -2.6486, ""analytic_writing_style"": -0.3499}",command-a-03-2025
40,"Stayed at the Sofitel Chicago Water Tower for 3 nights in early April 2007. Very convenient location just a block from all of the shopping on the Golden Mile. Good restaurant at the hotel serving a la carte breakfast different from the usual fare and with a nice French twist. Dinner at the restaurant was also good. Prices are reasonable. Room is comfortable, only problem was with a card access door lock that usually required several swipes before opening. Excellent service from the bellmen to the concierge and front desk staff. Would definitely stay here again if visiting Chicago. Concierge recommended a small van tour, which was excellent. However early April is too early to visit Chicago as popular activities such as the boat tour of the architecture of Chicago was not operating yet.",5.22,11.19,54.9980011,93.07,Genuine,Genuine,"The model predicted this review as 'Genuine' despite mixed evidence from the features, which on balance leaned toward 'Deceptive' with a combined contribution of -0.5509. The **proportion of emotional content (5.2200)** strongly supported 'Genuine' with a contribution of 1.7239, reflecting the reviewer’s personal experiences like the French twist in the breakfast and the concierge’s recommendation. The **proportion of adjectives (11.1900)** also weakly supported 'Genuine' with a contribution of 0.0491, aligning with descriptive phrases like ""comfortable room"" and ""excellent service."" However, the **readability score (54.9980)** provided strong evidence for 'Deceptive' with a contribution of -2.1848, suggesting the review’s clarity and simplicity might be atypical for genuine reviews. Additionally, the **analytic writing style (93.0700)** weakly supported 'Deceptive' with a contribution of -0.1390, possibly due to the structured and factual tone. Despite these conflicting signals, the model’s final prediction was 'Genuine.'","{""proportion_of_emotional_content_in_review"": 1.7239, ""proportion_of_adjectives_in_review"": 0.0491, ""readability_of_review"": -2.1848, ""analytic_writing_style"": -0.139}",command-a-03-2025
41,"""I had an amazing stay at the Homewood Suites by Hilton Chicago Downtown. The room was spacious and comfortable, and the staff was incredibly friendly and helpful. The location was also great, with easy access to all the best sights and sounds of the city. I would definitely stay here again.""",9.8,7.84,66.164338,69.58,Genuine,Genuine,"The model predicted this review as 'Genuine', despite the evidence from the features leaning slightly toward 'Deceptive' with a combined contribution of -0.6496. The **proportion of adjectives (7.8400)** contributed positively (0.2970), suggesting genuineness, likely due to the review's use of descriptive words like ""spacious,"" ""comfortable,"" and ""incredibly friendly."" However, the **proportion of emotional content (9.8000)** contributed negatively (-0.1629), hinting at potential deception, possibly because phrases like ""amazing stay"" and ""definitely stay here again"" could be seen as overly enthusiastic. Additionally, the **readability score (66.1643)** and **analytic writing style (69.5800)** both contributed negatively (-0.4917 and -0.2920, respectively), suggesting deceptive tendencies, perhaps due to the review's straightforward and polished tone. Overall, the evidence was mixed, tilting toward 'Deceptive', but the model still predicted 'Genuine'.","{""proportion_of_emotional_content_in_review"": -0.1629, ""proportion_of_adjectives_in_review"": 0.297, ""readability_of_review"": -0.4917, ""analytic_writing_style"": -0.292}",command-a-03-2025
42,"""My husband and I had a wonderful time at the InterContinental Chicago. The hotel is beautiful, with a great view of the city. The room was comfortable and clean, and the staff were very friendly and accommodating. We would definitely come back to this hotel.""",13.33,13.33,60.05625,71.95,Deceptive,Deceptive,"The model predicted this review as 'Deceptive' primarily because several features strongly suggested insincerity. The high **proportion of emotional content (13.3300)** contributed the most, with a score of **-1.7020**, indicating overly effusive language that might not align with genuine sentiment. Similarly, the **proportion of adjectives (13.3300)** scored **-0.6149**, suggesting the review relies too heavily on descriptive words rather than specific details. The **readability score (60.0562)**, with a contribution of **-1.6396**, implies the review is too polished or simplistic for an authentic experience. Lastly, the **analytic writing style (71.9500)** scored **-0.3041**, hinting at a detached, formulaic tone. Together, these features outweighed any evidence for genuineness, leading the model to classify the review as deceptive.","{""proportion_of_emotional_content_in_review"": -1.702, ""proportion_of_adjectives_in_review"": -0.6149, ""readability_of_review"": -1.6396, ""analytic_writing_style"": -0.3041}",command-a-03-2025
43,"The Conrad Hotel is a beautiful hotel. Our room was perfect and beautiful in every way. I was very impressed (and I am hard to please and have high standards). It was so clean, aesthetically pleasing, up to date, just gorgeous! I would definitely stay there again. I loved it. The location is superb too, attached to Nordstrom and Northbridge mall. Can't wait to go back!",13.64,15.15,77.10299683,14.87,Genuine,Genuine,"The model predicted this review as 'Genuine' primarily because the readability score of **77.1030** contributed **+4.0355**, strongly favoring authenticity, likely due to the review's clear and straightforward language. Additionally, the analytic writing style score of **14.8700** contributed **+3.1661**, further supporting genuineness by reflecting a balanced and thoughtful tone. While the high proportion of emotional content (**13.6400**) and adjectives (**15.1500**) contributed **-1.7145** and **-0.6958** respectively, suggesting potential exaggeration, the features favoring 'Genuine' outweighed these concerns, with readability being the most influential factor. The review's detailed, positive descriptions and enthusiasm align with these findings, tipping the prediction toward authenticity.","{""proportion_of_emotional_content_in_review"": -1.7145, ""proportion_of_adjectives_in_review"": -0.6958, ""readability_of_review"": 4.0355, ""analytic_writing_style"": 3.1661}",command-a-03-2025
44,"""I was so impressed with my stay at the Fairmont Chicago Millennium Park. The hotel is in a great location, close to many of the city's top sights. The room was clean, comfortable and well-appointed. The staff were friendly and went out of their way to make my stay enjoyable.""",12.0,18.0,74.458456,94.04,Genuine,Genuine,"The model predicted this review as 'Genuine' primarily because the readability score of 74.4585 strongly supported authenticity, contributing +3.9283 toward 'Genuine'. Additionally, the proportion of adjectives (18.0000) provided a small positive contribution of +0.0679, further favoring genuineness. While the proportion of emotional content (12.0000) contributed -1.6563 toward 'Deceptive' and the analytic writing style (94.0400) added a minor -0.1162, the features favoring 'Genuine' outweighed those pointing to deception. The high readability and balanced use of adjectives in the review text likely tipped the prediction in favor of authenticity.","{""proportion_of_emotional_content_in_review"": -1.6563, ""proportion_of_adjectives_in_review"": 0.0679, ""readability_of_review"": 3.9283, ""analytic_writing_style"": -0.1162}",command-a-03-2025
45,"We have stayed at several high end places in Chicago and this is still our favorite. Location is superb, staff are particularly gracious and welcoming without being cloying. Cornell, at the front desk, is unfailingly helpful as is the concierge. We love the extra room that a suite provides and if you join the frequent guest program, high speed internet is gratis, as is a breakfast beverage delivered along with the newspaper each morning at the time of your choosing. Bedding is of excellent quality and they offer truly amazing blackout curtains! We have never had a bad stay at this hotel.",9.8,8.82,57.68899918,58.5,Deceptive,Deceptive,"The model predicted this review as 'Deceptive' primarily due to the features that strongly indicated insincerity. The **readability_of_review** score of 57.6890 had the largest impact, contributing -2.0524 toward 'Deceptive', suggesting the text is overly polished or unnatural. Additionally, the **proportion_of_emotional_content_in_review** score of 9.8000 contributed -0.1629, implying the emotional tone might be exaggerated or insincere. While the **proportion_of_adjectives_in_review** score of 8.8200 provided a positive contribution of 0.2084, favoring 'Genuine', it wasn't enough to outweigh the deceptive signals. The **analytic_writing_style** score of 58.5000 also slightly favored 'Deceptive' with a contribution of -0.0923, further supporting the model's prediction.","{""proportion_of_emotional_content_in_review"": -0.1629, ""proportion_of_adjectives_in_review"": 0.2084, ""readability_of_review"": -2.0524, ""analytic_writing_style"": -0.0923}",command-a-03-2025
46,"""I had a great experience at the Homewood Suites by Hilton Chicago Downtown. The room was comfortable and well-appointed, and the staff was incredibly friendly and helpful. The location was also great, with easy access to all the best sights and sounds of the city. I would recommend this hotel to anyone visiting Chicago.""",11.11,9.26,57.51875,79.79,Deceptive,Deceptive,"The model predicted this review as 'Deceptive' primarily because the features favoring deception outweighed those suggesting genuineness. The **proportion of emotional content (11.1100)** contributed the most, with a score of **-1.5038**, indicating overly effusive language that might be typical of fake reviews. Additionally, the **readability score (57.5187)** contributed **-2.0557**, suggesting the review was written at a level that could be overly simplified or insincere. While the **proportion of adjectives (9.2600)** slightly favored genuineness with a contribution of **0.1852**, the **analytic writing style (79.7900)** further supported deception with a contribution of **-0.3550**. Together, these features, particularly the emotional content and readability, tipped the prediction toward 'Deceptive'.","{""proportion_of_emotional_content_in_review"": -1.5038, ""proportion_of_adjectives_in_review"": 0.1852, ""readability_of_review"": -2.0557, ""analytic_writing_style"": -0.355}",command-a-03-2025
47,"""The Sofitel Chicago Water Tower is an exceptional hotel with a great location. The staff were very friendly and helpful, the room was beautiful, clean and well-appointed, and the bed was extremely comfortable. The hotel's location is also perfect, close to many of the city's best restaurants and shops. I had a great stay and I would definitely recommend this hotel to others.""",15.87,15.87,53.12,61.53,Deceptive,Deceptive,"The model flagged this review as 'Deceptive' primarily due to a few key factors. Firstly, the review's high proportion of emotional content (15.87%) contributed negatively (-1.4338), suggesting an overly effusive tone that might be insincere. Similarly, the dense use of adjectives (15.87%) added another negative contribution (-0.5752), indicating potential exaggeration. The readability score (53.12) also played a significant role, pushing the prediction toward 'Deceptive' with a contribution of -2.4093, possibly due to the review's overly polished and simplistic language. Lastly, the analytic writing style (61.53) had a minor negative impact (-0.1376), hinting at a lack of personal, nuanced detail. Together, these features outweighed any evidence for genuineness, leading the model to predict 'Deceptive'.","{""proportion_of_emotional_content_in_review"": -1.4338, ""proportion_of_adjectives_in_review"": -0.5752, ""readability_of_review"": -2.4093, ""analytic_writing_style"": -0.1376}",command-a-03-2025
48,"""I had a great stay at the Amalfi Hotel Chicago. The room was comfortable and well-appointed, and the staff went above and beyond to make sure I had everything I needed. The location was great, with easy access to all the best attractions in the city. Highly recommend!""",8.33,8.33,66.637985,94.18,Genuine,Genuine,"The model predicted this review as 'Genuine' primarily because the high proportion of emotional content (8.3300) strongly favored authenticity, contributing +0.9781 toward the 'Genuine' prediction. Additionally, the moderate use of adjectives (8.3300) provided further evidence for genuineness with a contribution of +0.2405. While the readability score (66.6380) and analytic writing style (94.1800) slightly pushed the prediction toward 'Deceptive' with contributions of -0.0920 and -0.0836 respectively, their impact was minimal compared to the emotional content, which was the most influential feature. Overall, the features favoring 'Genuine' clearly outweighed those pointing toward 'Deceptive,' aligning with the final prediction.","{""proportion_of_emotional_content_in_review"": 0.9781, ""proportion_of_adjectives_in_review"": 0.2405, ""readability_of_review"": -0.092, ""analytic_writing_style"": -0.0836}",command-a-03-2025
49,"We loved the hotel. When I see other posts about it being shabby I can't for the life of me figure out what they are talking about. Rooms were large with TWO bathrooms, lobby was fabulous, pool was large with two hot tubs and huge gym, staff was courteous. For us, the location was great--across the street from Grant Park with a great view of Buckingham Fountain and close to all the museums and theatres. I'm sure others would rather be north of the river closer to the Magnificent Mile but we enjoyed the quieter and more scenic location. Got it for $105 on Hotwire. What a bargain for such a nice hotel.",7.02,13.16,77.64199829,80.4,Genuine,Genuine,"The model predicted this review as 'Genuine' primarily because the features favoring authenticity outweighed those suggesting deception. The **readability_of_review** score of 77.6420 contributed the most, with a positive score of 4.0756, indicating the review is easy to understand and aligns with genuine feedback. Additionally, the **proportion_of_emotional_content_in_review** score of 7.0200 added 1.2359, reflecting the reviewer's genuine enthusiasm, as seen in phrases like ""We loved the hotel"" and ""What a bargain."" While the **proportion_of_adjectives_in_review** (13.1600) contributed -0.6022, suggesting potential exaggeration, and **analytic_writing_style** (80.4000) added -0.3502, hinting at a more structured tone, these negative contributions were not strong enough to sway the prediction. Overall, the clarity, emotional tone, and readability of the review strongly supported its authenticity.","{""proportion_of_emotional_content_in_review"": 1.2359, ""proportion_of_adjectives_in_review"": -0.6022, ""readability_of_review"": 4.0756, ""analytic_writing_style"": -0.3502}",command-a-03-2025
50,"We have stayed here several times and have always found it to be clean with comfortable beds. We were given a choice of breakfast or free cocktails which we thought was a nice touch. Our room was small but adequate. Location was great, close to the L trains and also close to the train station as we always ""walk"" from Union Station.",8.06,12.9,81.96900177,36.92,Genuine,Genuine,"The model predicted this review as 'Genuine' primarily because the readability score of 81.9690 strongly favored authenticity, contributing +4.1890 to the prediction. Additionally, the proportion of emotional content (8.0600) added evidence for genuineness with a contribution of +1.0341, likely due to the reviewer's personal touch in mentioning their repeated stays and appreciation for the breakfast/cocktail choice. While the proportion of adjectives (12.9000) slightly pushed toward 'Deceptive' with a contribution of -0.5770, this was outweighed by the analytic writing style (36.9200), which further supported genuineness with a +0.4874 contribution. Overall, the features favoring 'Genuine' clearly outweighed the minor evidence for 'Deceptive'.","{""proportion_of_emotional_content_in_review"": 1.0341, ""proportion_of_adjectives_in_review"": -0.577, ""readability_of_review"": 4.189, ""analytic_writing_style"": 0.4874}",command-a-03-2025
51,"The Allegro in downtown Chicago is a great stay/ part of the Kimpton Group boutique hotels the Allegro offers a classy stay in a beautiful room for a moterate price/ they offer complimentary and decent wine gratis in the late afternoon and the hotel allows you access to everything the loop has to offer in this remarkable city. i would recommend parking outside of the downtown area and taking the 'EL' into the loop which leaves you about 2 minutes from the hotel/ otherwise you are looking at hefty parking fees for a car you dont need in this part of the city . the rooms are small but beautifully done with great colors,comfortable beds and in my case great views. if you go to kimpton group website and sign up for specials you will be alerted to great rates on certain days / kimpton does a great job and their properties are ""class acts""",7.14,7.14,46.35699844,93.32,Deceptive,Deceptive,"The model predicted this review as 'Deceptive' primarily due to the readability score of 46.3570, which strongly contributed -2.6577 toward 'Deceptive'. This suggests the review’s text complexity or structure aligns more with deceptive patterns. Additionally, the analytic writing style score of 93.3200 slightly pushed the prediction toward 'Deceptive' with a contribution of -0.1390. While the proportion of emotional content (7.1400) and adjectives (7.1400) provided evidence for 'Genuine' with contributions of 1.2166 and 0.4129 respectively, the features favoring 'Deceptive' outweighed these, leading to the final prediction.","{""proportion_of_emotional_content_in_review"": 1.2166, ""proportion_of_adjectives_in_review"": 0.4129, ""readability_of_review"": -2.6577, ""analytic_writing_style"": -0.139}",command-a-03-2025
52,I stayed here August 20 through 23rd with my sixteen year old son and we thoroughly enjoyed this hotel. The price was very reasonable for a hotel located right on Michigan Avenue. The front desk and concierge service was excellent and enhanced our stay by making it easy for us to plan fun activities. The John Entwistle theme on our floor was a nice touch. Any of you single fathers out there can appreciate how difficult it can be to take a fun affordable vacation with your children and The Hard Rock Hotel in Chicago really helped me accomplish just that!,9.9,9.9,58.1629982,69.32,Deceptive,Deceptive,"The model predicted this review as 'Deceptive' primarily due to the features favoring deception outweighing those for genuineness. The **readability_of_review** score of 58.1630 contributed the most, with a negative impact of -1.7965, suggesting the text is unusually easy to read, which can be a red flag. Additionally, the **proportion_of_emotional_content_in_review** score of 9.9000 (contribution -0.1849) and **analytic_writing_style** score of 69.3200 (contribution -0.2912) both provided evidence for deception, indicating overly emotional language and a structured writing style. While the **proportion_of_adjectives_in_review** score of 9.9000 (contribution 0.1262) slightly favored genuineness, it wasn’t enough to counterbalance the stronger deceptive signals.","{""proportion_of_emotional_content_in_review"": -0.1849, ""proportion_of_adjectives_in_review"": 0.1262, ""readability_of_review"": -1.7965, ""analytic_writing_style"": -0.2912}",command-a-03-2025
