Unnamed: 0,review_text,proportion_of_emotional_content_in_review,proportion_of_adjectives_in_review,readability_of_review,analytic_writing_style,ebm_prediction,model_prediction,natural_language_explanation,feature_contributions
12,"""I recently stayed at Ambassador East Hotel Chicago and it was a fantastic experience. The room was clean and comfortable, with great views of the city. The staff was friendly and helpful, and the location was perfect for exploring the city. The hotel amenities were top-notch, from the fitness center to the on-site restaurant. I highly recommend this hotel.""",13.56,11.86,58.537246,93.46,Deceptive,Deceptive,"The model flagged this review as 'Deceptive' primarily due to several linguistic cues. Firstly, the review's high proportion of emotional content (13.56%) contributed negatively (-2.0611), suggesting an overly enthusiastic tone that might be insincere. Similarly, the frequent use of adjectives (11.86%) with a negative contribution (-0.5077) could indicate an attempt to exaggerate the experience. The readability score (58.5372) also played a role, as its negative contribution (-1.5560) might imply a review that's too polished or simplistic. Lastly, the analytic writing style (93.4600) slightly pushed the prediction towards 'Deceptive' (-0.0662), possibly due to a lack of personal, detailed insights one would expect in a genuine review. These features, when analyzed together, led the model to question the authenticity of this seemingly perfect hotel stay.","{'proportion_of_emotional_content_in_review': -2.0611, 'proportion_of_adjectives_in_review': -0.5077, 'readability_of_review': -1.556, 'analytic_writing_style': -0.0662}"
13,"I'll keep it short. My wife, daughter and I stayed at this hotel for 3 nights. We go on several vacations a year and this was a great hotel. Location: It is located in the center of the Magnificent Mile (Michigan Ave.), so it is near or easily accessible to everything you might want to do. Hotel: The hotel itself is very clean, as were the rooms. Maid service was excellent, including 2x daily cleaning and turndown service (I think they missed a night). Service: Every staff member we encountered was super friendly and kind. They always have someone at the lobby door greeting you with a smile. Every night we had milk and cookies waiting in our room (sometimes chocolates on our pillows). They always pushed the elevator button for you if they were near it. There was no shortage of people to ask things. My only conplaint was that the congierge was tough to get. They shouuld have more than one, or longer hours. Other: We had breakfast in the 676 Restaurant and it was very good, and well attended, appointed. They even carried my wifes plate to the table from the buffet. The pool was a nice addition and a hit with the kids. It was nice to go for a swim after a long day of walking. Pool and changing areas were spotless. Room: Clean, sunny and spacious. Probably over 400 sq. ft. - 2 TVs, couch, desk, chairs - all in perfect shape. The windows open for some fresh air. Pillows were pretty comfortable. With all aspects considered, I think this was an unbeatable value! I would not hesitate to stay again or recommend it to a friend. I truly have nothing negative to say about the hotel. It was a wonderful stay and we will miss being there. Omni has hit the right formula to make a guest feel like a welcomed person as opposed to just a nuisance or a number. The airlines have cornered the market on that.",7.78,7.78,76.66999817,63.6,Genuine,Genuine,"The model predicted this review as 'Genuine' primarily due to several key features. The **proportion of emotional content** (7.7800) contributed **1.0911** toward 'Genuine,' reflecting the reviewer's heartfelt appreciation for the hotel's service and amenities, such as the milk and cookies and friendly staff. The **proportion of adjectives** (7.7800) added **0.3058** to the 'Genuine' prediction, aligning with the detailed, positive descriptions like ""spotless"" pool areas and ""sunny and spacious"" rooms. Additionally, the **readability score** (76.6700) significantly contributed **4.6758** toward 'Genuine,' indicating the review's clear, conversational tone. While the **analytic writing style** (63.6000) slightly pushed the prediction toward 'Deceptive' with a contribution of **-0.9056**, this was outweighed by the strong evidence from the other features, confirming the review's authenticity.","{'proportion_of_emotional_content_in_review': 1.0911, 'proportion_of_adjectives_in_review': 0.3058, 'readability_of_review': 4.6758, 'analytic_writing_style': -0.9056}"
14,"I had a wonderful stay at the Amalfi Hotel Chicago. The room was comfortable and had all the amenities I needed. The staff were friendly and accommodating, and the location was perfect for sightseeing. I will definitely be back!",10.26,10.26,53.769519,53.56,Deceptive,Deceptive,"The model flagged this review as 'Deceptive' primarily due to two key factors. First, the high **proportion of emotional content (10.2600)** contributed **-0.6399** toward 'Deceptive,' suggesting the reviewer may be overstating their experience with excessive positivity. Second, the **readability score (53.7695)** contributed **-2.9930** toward 'Deceptive,' indicating the review is unusually simple or formulaic, which is often a red flag for inauthenticity. While the **proportion of adjectives (10.2600)** and **analytic writing style (53.5600)** provided minor evidence for 'Genuine' with contributions of **0.2521** and **0.2727** respectively, their impact was outweighed by the stronger deceptive signals. Together, these features suggest the review may not reflect a genuine guest experience.","{'proportion_of_emotional_content_in_review': -0.6399, 'proportion_of_adjectives_in_review': 0.2521, 'readability_of_review': -2.993, 'analytic_writing_style': 0.2727}"
15,"""I recently stayed at The Affinia Chicago and it was a fantastic experience. The room was clean and comfortable, with great views of the city. The staff was friendly and helpful, and the location was perfect for exploring the city. I highly recommend this hotel.""",17.78,13.33,60.05625,86.15,Deceptive,Deceptive,"The model flagged this review as 'Deceptive' primarily due to a few key linguistic patterns. Firstly, the review's emotional tone, measured at 17.78%, contributed negatively (-2.2664) to the prediction, suggesting an overly positive sentiment that might be insincere. Similarly, the high proportion of adjectives (13.33%) with a negative contribution (-0.8353) could indicate an attempt to exaggerate the experience. The readability score of 60.0562, while decent, pushed the prediction towards 'Deceptive' (-1.5237), possibly due to a simplistic writing style. Lastly, the analytic writing style score of 86.1500, despite being high, provided minor evidence for deception (-0.3412), implying a lack of personal, detailed insights one might expect from a genuine review. These features collectively suggest a review that might be too good to be true.","{'proportion_of_emotional_content_in_review': -2.2664, 'proportion_of_adjectives_in_review': -0.8353, 'readability_of_review': -1.5237, 'analytic_writing_style': -0.3412}"
16,"I had a wonderful stay at the Conrad Chicago. The room was comfortable and had all the amenities I needed. The staff were friendly and helpful, and the location was perfect for sightseeing. I will definitely be back!",13.16,10.53,63.613553,52.34,Deceptive,Deceptive,"The model predicted this review as 'Deceptive' primarily due to two key features. First, the **proportion of emotional content** in the review was **13.1600**, which contributed **-2.0380** toward 'Deceptive,' suggesting the emotional tone might be exaggerated. Second, the **readability score** of **63.6136** contributed **-1.0823** toward 'Deceptive,' indicating the review may be overly polished or formulaic. While the **proportion of adjectives (10.5300)** and **analytic writing style (52.3400)** provided minor evidence for 'Genuine' with contributions of **0.2348** and **0.2812** respectively, their impact was outweighed by the stronger deceptive signals from the other features.","{'proportion_of_emotional_content_in_review': -2.038, 'proportion_of_adjectives_in_review': 0.2348, 'readability_of_review': -1.0823, 'analytic_writing_style': 0.2812}"
17,"I recently stayed at the Fairmont Chicago and found it to be a fantastic hotel. Staff was always courteous and helpful - from the front desk staff at check-in to wait staff in Aria restaurant, to the maid who cleaned my room. The rooms were recently updated, with large flat-screen TV's, beautiful linens, and exceptional toiletries in each room. My room even had a view of Monroe St. harbor. It is truly a first-rate hotel. Location is south of the river and east of Michigan Ave -- as we normally stay north of the river it seems a little out of the way (if that's possible in downtown Chicago), however its location significantly lowers street noise. The hotel has excellent access to Millennium Park, the Aon center (there is a connecting concourse), and is about 4 blocks from shopping on North Michigan Ave. I ate dinner in Aria and it was fantastic! Room service for breakfast was quite good as well. Overall, I'd stay again in a minute if I had business in the loop, or leisure plans in Millennium or Grant Parks.",6.08,4.97,63.54299927,81.01,Genuine,Genuine,"The model predicted this review as 'Genuine' primarily due to the high proportion of emotional content (6.0800), which significantly contributed 1.0836 toward the 'Genuine' label, reflecting the reviewer’s authentic enthusiasm for their stay. The moderate use of adjectives (4.9700) also supported this, adding 0.4843 to the 'Genuine' prediction by highlighting specific, detailed praise for the hotel’s amenities and staff. While the readability score (63.5430) contributed -1.0842 toward 'Deceptive' and the analytic writing style (81.0100) added -0.3942, these features were outweighed by the emotional and descriptive elements that aligned with genuine, heartfelt feedback. Overall, the review’s balance of personal experience and specific details tipped the prediction toward authenticity.","{'proportion_of_emotional_content_in_review': 1.0836, 'proportion_of_adjectives_in_review': 0.4843, 'readability_of_review': -1.0842, 'analytic_writing_style': -0.3942}"
18,"""I had a fantastic stay at the Homewood Suites by Hilton Chicago Downtown. The room was spacious and comfortable, and the staff was incredibly friendly and helpful. The location was perfect for exploring the city, and the free breakfast and evening reception were a nice touch. I would highly recommend this hotel to anyone visiting Chicago.""",14.29,10.71,53.639286,76.24,Deceptive,Deceptive,"The model predicted this review as 'Deceptive' primarily due to several key features. First, the **proportion of emotional content** (14.29%) contributed **−2.1102**, suggesting overly positive language that might be insincere. Second, the **readability score** (53.6393) contributed **−2.9946**, indicating the text was simpler than expected for a genuine review, possibly signaling a template or rushed writing. Additionally, the **analytic writing style** (76.24) contributed **−0.4639**, hinting at a lack of personal detail or nuance. While the **proportion of adjectives** (10.71%) slightly supported genuineness with a contribution of **+0.2222**, the stronger evidence from the other features pushed the prediction toward 'Deceptive.'","{'proportion_of_emotional_content_in_review': -2.1102, 'proportion_of_adjectives_in_review': 0.2222, 'readability_of_review': -2.9946, 'analytic_writing_style': -0.4639}"
19,"We stayed at the Intercontinental for three nights last weekend. It is a located in a fantastic spot on the Magnificent Mile, right near the Chicago River and the NBC building. We had a double room in the main tower. The room was very clean and updated. The staff were very friendly and helpful. The negatives about this hotel is that you have to pay extra to use the fitness centre and internet access. Also, parking is high ($45 valet/day). Overall, we had a great stay and would recommend this hotel. We paid $90 on Priceline and felt that this was a reasonable price.",6.67,11.43,71.73100281,75.12,Genuine,Genuine,"The model predicted this review as 'Genuine' primarily due to several key features. The **proportion of emotional content (6.6700)** contributed **1.1867** toward 'Genuine,' suggesting the reviewer’s sentiments felt authentic and balanced. The **proportion of adjectives (11.4300)** added **0.1026** to 'Genuine,' indicating descriptive language typical of genuine reviews. Additionally, the **readability score (71.7310)** contributed **3.5237** toward 'Genuine,' reflecting clear and straightforward writing. While the **analytic writing style (75.1200)** slightly pushed the prediction toward 'Deceptive' with a contribution of **-0.4332**, the overall evidence from the other features overwhelmingly supported the 'Genuine' classification.","{'proportion_of_emotional_content_in_review': 1.1867, 'proportion_of_adjectives_in_review': 0.1026, 'readability_of_review': 3.5237, 'analytic_writing_style': -0.4332}"
20,"""I recently stayed at the Amalfi Hotel Chicago and had a fantastic experience. The room was comfortable and well-appointed, and the staff went above and beyond to make sure I had everything I needed. The location was great, with easy access to all the best attractions in the city. Highly recommend!""",7.84,7.84,56.978462,91.99,Genuine,Genuine,"The model predicted this review as 'Genuine' primarily due to the high proportion of emotional content (7.8400) and adjectives (7.8400), which contributed positively with scores of 1.0716 and 0.2832, respectively, indicating genuine sentiment and descriptive language typical of authentic reviews. Although the readability score (56.9785) and analytic writing style (91.9900) contributed negatively with scores of -1.9040 and -0.3778, suggesting potential deceptive elements, their impact was outweighed by the strong emotional and descriptive features. The review’s heartfelt tone and specific praise for the room, staff, and location align with the features favoring genuineness, tipping the prediction in that direction.","{'proportion_of_emotional_content_in_review': 1.0716, 'proportion_of_adjectives_in_review': 0.2832, 'readability_of_review': -1.904, 'analytic_writing_style': -0.3778}"
21,"""Ambassador East Hotel Chicago was a great choice for my stay in the city. The room was comfortable and well-appointed, and the staff were friendly and helpful. The location was perfect for exploring the city, with easy access to all the best attractions. I would definitely stay here again.""",10.2,12.24,62.1715,86.45,Deceptive,Deceptive,"The model flagged this review as 'Deceptive' primarily due to several linguistic cues. Firstly, the review's high proportion of emotional content (10.2000) and adjectives (12.2400) contributed negatively, suggesting an overly enthusiastic tone that might be insincere. The readability score of 62.1715 also played a significant role, indicating the text is simpler than expected for genuine reviews, which often include more varied language. Additionally, the analytic writing style score of 86.4500, while high, surprisingly provided evidence for deception, possibly due to an overly structured and less personal narrative. These features collectively paint a picture of a review that might be crafted to mislead rather than reflect an authentic experience.","{'proportion_of_emotional_content_in_review': -0.6972, 'proportion_of_adjectives_in_review': -0.6618, 'readability_of_review': -1.2655, 'analytic_writing_style': -0.3388}"
22,I stayed here for about a week during a conference and the service was excellent. In addition to the excellent service the location was great. With quick access to Michigan Ave.. The bars and Shula's restaurant were excellent. You must have the rib-eye steak...very well done.,10.64,10.64,64.20200348,89.52,Deceptive,Deceptive,"The model flagged this review as 'Deceptive' primarily due to three key factors. First, the **proportion of emotional content (10.6400)** contributed **-0.7110** toward 'Deceptive,' suggesting the review lacks genuine emotional depth despite positive remarks about service and location. Second, the **readability score (64.2020)** strongly pushed the prediction toward 'Deceptive' with a contribution of **-0.9980**, indicating the text may be overly simplistic or formulaic. Lastly, the **analytic writing style (89.5200)** contributed **-0.3282** to 'Deceptive,' hinting at an unnatural or overly structured tone. While the **proportion of adjectives (10.6400)** provided a slight +0.2290 push toward 'Genuine,' the other features overwhelmingly outweighed this, leading to the 'Deceptive' prediction.","{'proportion_of_emotional_content_in_review': -0.711, 'proportion_of_adjectives_in_review': 0.229, 'readability_of_review': -0.998, 'analytic_writing_style': -0.3282}"
23,"Stayed here for two days while attending Lollopalooza music festival. One of the best locations in Chicago, on Michigan Ave near the Tribune and Sun-Times buildings. An easy walk or bus ride to many attractions. The King sized room was very nice, not large, but with a generous bathroom. Service was excellent throughout. Check out the awesome swimming pool, straight out of twenties.",7.94,12.7,67.24700165,98.6,Genuine,Genuine,"The model predicted this review as 'Genuine' primarily due to several key features. The **proportion of emotional content (7.9400)** contributed **1.0558** toward 'Genuine,' suggesting the reviewer's genuine enthusiasm, as seen in phrases like ""one of the best locations"" and ""awesome swimming pool."" The **analytic writing style (98.6000)** further supported this with a contribution of **1.7119**, indicating a structured, factual tone consistent with authentic reviews. Additionally, the **readability score (67.2470)** added **0.2517** toward 'Genuine,' reflecting the review's clear and accessible language. While the **proportion of adjectives (12.7000)** contributed **-0.7912** toward 'Deceptive,' this was outweighed by the other features, as the adjectives used (e.g., ""nice,"" ""generous,"" ""easy"") were specific and contextually appropriate, aligning with a genuine experience.","{'proportion_of_emotional_content_in_review': 1.0558, 'proportion_of_adjectives_in_review': -0.7912, 'readability_of_review': 0.2517, 'analytic_writing_style': 1.7119}"
24,"In a very nice location close to shopping and places to eat and also in a beautiful neighborhood. A small hotel with a pleasant place to sit in the lobby, the Pump Room is a classic place to have a drink. We did not have dinner there so I can not comment but we enjoyed people watching while we had an afternoon drink looking out the window at the people in the neighborhood. It is a short walk to very good shopping and eating.",5.95,8.33,71.73300171,87.8,Genuine,Genuine,"The model predicted this review as 'Genuine' primarily due to several key features. The **proportion of emotional content** (5.9500) contributed significantly with a score of 1.4980, suggesting genuine sentiment as the reviewer expresses enjoyment in people-watching and the neighborhood. The **proportion of adjectives** (8.3300), with a contribution of 0.1387, also leaned toward genuineness, reflecting the reviewer's descriptive yet balanced use of words like ""nice,"" ""beautiful,"" and ""pleasant."" Additionally, the **readability score** (71.7330) contributed 3.5237, indicating the review is clear and easy to understand, a trait often associated with genuine reviews. While the **analytic writing style** (87.8000) slightly pushed toward 'Deceptive' with a contribution of -0.2803, its impact was minimal compared to the strong evidence from the other features. Overall, the review’s emotional tone, descriptive language, and readability aligned with genuine feedback.","{'proportion_of_emotional_content_in_review': 1.498, 'proportion_of_adjectives_in_review': 0.1387, 'readability_of_review': 3.5237, 'analytic_writing_style': -0.2803}"
